id,is_iceberg
5941774d,0.06724955063934128
4023181e,0.5790952066580454
b20200e4,0.1580970030051076
e7f018bb,0.999
4371c8c3,0.14706278205315662
a8d9b1fd,0.30623238520250523
29e7727e,0.01700288513675332
92a51ffb,0.999
c769ac97,0.001
aee0547d,0.001
565b28ac,0.001
e04e9775,0.4468093988796075
8e8161d1,0.001
4cf4d256,0.7892878452936808
139e5324,0.20555083724680875
f156976f,0.001
68a117cc,0.3512131728702419
d9aa7a56,0.49386563681376466
9005b143,0.33507276680611536
5f6d3988,0.9677375713984171
9ad70954,0.1180374040680666
b9087b9e,0.34960251251856483
a39a1427,0.43701839279998844
82fbe8ed,0.0011134493601275607
1fae4879,0.001
6dd8f13d,0.001
bbad5958,0.13614009323840343
54527583,0.46030972620171257
be8fa29c,0.527023396982501
81a3328f,0.999
1a3c0ab3,0.16157103171068535
4deeeb8b,0.6953754970823259
ac6d5632,0.4548932582256385
472dadb5,0.3888922378282889
96093f95,0.9150702357292175
f5b4e3df,0.999
e01a3c92,0.001
001680af,0.486262068959574
8e639f33,0.1536581969509522
a2c16612,0.8817719399929046
a6d76474,0.0774814440576293
19c47684,0.4028701098060992
015827b6,0.3290799980672698
7df7f7ce,0.3300765531851842
0bbf1a3f,0.6459407032486827
636cfbb7,0.7550461123387019
7370030a,0.998055112361908
43aa97ad,0.12264881920586533
ba2b5e63,0.999
dfdd335b,0.4943149603657427
e79b13dc,0.25188754137940733
dc32b195,0.6113274524079921
6d868590,0.999
75fa59aa,0.35253045727877175
ffe50836,0.3269047972069213
a7bfd784,0.999
b3d569e3,0.001
6c538c5b,0.0686886116086195
5c7c15f4,0.17730757895040863
0b745139,0.3419871674435853
fd14608e,0.6500638269363358
f0bc8305,0.251037056877135
a10ccb28,0.999
543304c7,0.6394057118023436
6c3a4078,0.001
9b73cc75,0.6356046158177383
5c6c71b1,0.16953578668956956
09ee9186,0.42789619622005076
207c35cf,0.4908168621361256
153c813e,0.22327658702280775
5605d58b,0.7710294420966725
642ca396,0.001543109072372317
d32d72c0,0.4661301816813648
16646a17,0.9625790615876516
384074af,0.4395522817673328
69bf1e8c,0.5869231790925066
9e90a054,0.762556800742944
89dbe7f7,0.999
dbd27d22,0.45353196054931
a2ea1561,0.5040006809557477
d63402af,0.1646657483530968
1ac8bb92,0.9971528410911559
8beffca5,0.3045349254452352
46741f3e,0.13914962524641913
e5ee6aa7,0.07407778930485928
5ecd892b,0.5310191893329222
69892166,0.001
2f725a81,0.3148744390734161
810abfe4,0.001
e6f973e6,0.5143378769144572
c60a5c46,0.29925822818962233
c42b9e08,0.22403712574547777
c3f00c23,0.20843431797412718
5307fdb8,0.9320758243401844
3e4f005e,0.001
4a4cc2e0,0.8428102185328802
9bdd88d1,0.001
0d832bed,0.0025802825577557085
14a134fa,0.21133963024078262
78a41676,0.09369443765428731
0bd4658e,0.4539857345240306
4a311bb0,0.46629210981579194
f939c817,0.7008773897357362
956adc4d,0.999
f8a119f5,0.6913271899024646
61faa1ad,0.4200321732476975
